username,followed_at
topfunky,2022-03-28 00:23:59.767204
ELLIOTTCABLE,2022-03-28 00:24:02.452139
vic,2022-03-28 00:24:20.772820
brainopia,2022-03-28 00:24:23.218549
rozza,2022-03-28 00:25:28.834401
yrashk,2022-03-28 00:25:31.300000
alx,2022-03-28 00:38:33.745973
andypearson,2022-03-28 00:38:36.235660
amiroff,2022-03-28 00:38:38.701206
cheeaun,2022-03-28 00:38:41.158387
Aeon,2022-03-28 00:38:43.633195
ceejayoz,2022-03-28 00:38:46.111273
timkeller,2022-03-28 00:38:48.787144
thelinuxlich,2022-03-28 00:38:51.261918
moos3,2022-03-28 00:38:53.725546
barkerja,2022-03-28 00:38:56.201206
Stepniewski,2022-03-28 00:38:58.858066
jchatard,2022-03-28 00:39:01.330316
erinther,2022-03-28 00:39:04.019080
